original_entity,geonames,fcode,lat,lng,resolved_entity
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Constantinople,geonames:745044,TR,41.01384,28.94966,Constantinople
Blanche,geonames:4284808,US,36.81814,-83.65519,Blanche
Mardin,geonames:304794,TR,37.31775,40.71533,Mardin
Deir,geonames:361838,EG,25.33503,32.58179,Deir
London,geonames:2643743,GB,51.50853,-0.12574,London
Svoboda,geonames:726532,BG,42.23333,25.43333,Svoboda
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Constantinople,geonames:745044,TR,41.01384,28.94966,Constantinople
Mardin,geonames:304794,TR,37.31775,40.71533,Mardin
Mardin,geonames:304794,TR,37.31775,40.71533,Mardin
Deir,geonames:361838,EG,25.33503,32.58179,Deir
Aleppo,geonames:170063,SY,36.20124,37.16117,Aleppo
Mardin,geonames:304794,TR,37.31775,40.71533,Mardin
Waly,geonames:1121777,AF,33.09084,68.12312,Waly
Mushir,geonames:411802,OM,23.63152,56.4914,Mushir
Yemen,geonames:69543,YE,15.5,47.5,Yemen
Constantinople,geonames:745044,TR,41.01384,28.94966,Constantinople
