original_entity	geonames	fcode	lat	lng
Amra	geonames:1184512	PK	32.42297	72.95138
Tresco	geonames:6943074	GB	49.94874	-6.33111
England	geonames:6269131	GB	52.16045	-0.70312
Marseilles	geonames:2995469	FR	43.29695	5.38107
Marseilles	geonames:2995469	FR	43.29695	5.38107
Afghanistan	geonames:1149361	AF	33	66
Laristan	geonames:125860	IR	27	55.5
Baghdad	geonames:98182	IQ	33.34058	44.40088
Voy				
Khalifah	geonames:73887	YE	14.88065	43.31353
Okes	geonames:303614	TR	38.22549	31.54934
Satur	geonames:91450	IQ	36.18042	43.79816
Baghdadieh				
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Diala	geonames:1432221	IN	33.23562	74.37585
Mily	geonames:3070624	CZ	50.23267	13.86704
Basreh	geonames:6686495	IR	36.1445	45.574
Svoboda	geonames:726532	BG	42.23333	25.43333
Basreh	geonames:6686495	IR	36.1445	45.574
Pahlawan	geonames:1131310	AF	34.97681	63.04298
Blosse	geonames:2781681	AT	47.18333	10.85
Paris	geonames:2988507	FR	48.85341	2.3488
Baghdad	geonames:98182	IQ	33.34058	44.40088
London	geonames:2643743	GB	51.50853	-0.12574
Baghdad	geonames:98182	IQ	33.34058	44.40088
Svoboda	geonames:726532	BG	42.23333	25.43333
Antone				
Mossul	geonames:99072	IQ	36.335	43.11889
Khalifah	geonames:73887	YE	14.88065	43.31353
Ulto	geonames:477685	RU	46.21338	39.58851
Paris	geonames:2988507	FR	48.85341	2.3488
Carmes	geonames:5492165	US	35.89365	-105.3364
Pompe	geonames:3718471	HT	19.58333	-72.28333
Passy	geonames:2988394	FR	48.8637	2.2769
Paris	geonames:2988507	FR	48.85341	2.3488
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Basreh	geonames:6686495	IR	36.1445	45.574
Zumbaranyeh				
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Baghdadieh				
Satur	geonames:91450	IQ	36.18042	43.79816
Mossul	geonames:99072	IQ	36.335	43.11889
Mossul	geonames:99072	IQ	36.335	43.11889
Mossul	geonames:99072	IQ	36.335	43.11889
Belem	geonames:3405870	BR	-1.45583	-48.50444
